="",="(1)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="1",="2",="3",="4",="5",="6",="7",="8",="9",="10",="11",="12",="13",="14",="15",="16",="17",="18",="19",="20",="21",="Total"
="",="colpct",="colpct",="colpct",="colpct",="colpct",="colpct",="colpct",="colpct",="colpct",="colpct",="colpct",="colpct",="colpct",="colpct",="colpct",="colpct",="colpct",="colpct",="colpct",="colpct",="colpct",="colpct"
="0",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="66.67",="0.00",="0.12"
="11",="97.96",="0.00",="0.29",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="1.82",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="5.98"
="21",="0.00",="94.74",="0.00",="0.00",="0.00",="5.77",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="2.36"
="22",="0.00",="0.00",="0.00",="92.31",="13.33",="0.00",="0.00",="1.39",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.91"
="23",="1.02",="0.00",="0.29",="0.00",="0.00",="92.31",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="1.56",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="3.14"
="31",="1.02",="2.63",="18.05",="7.69",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="7.79"
="32",="0.00",="0.00",="22.64",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="3.13",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="9.67"
="33",="0.00",="0.00",="54.87",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="23.14"
="42",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="54.55",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="7.25"
="44",="0.00",="0.00",="0.29",="0.00",="0.00",="0.00",="26.82",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="12.50",="0.00",="0.00",="4.05"
="45",="0.00",="0.00",="0.14",="0.00",="0.00",="0.00",="13.64",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="4.17",="0.00",="0.00",="1.99"
="48",="0.00",="2.63",="0.43",="0.00",="6.67",="0.00",="0.00",="84.72",="0.00",="0.00",="0.00",="0.00",="0.00",="6.25",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="4.23"
="49",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="9.72",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.42"
="51",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="90.00",="0.00",="0.00",="1.82",="0.00",="0.00",="0.00",="0.00",="5.56",="0.00",="0.00",="0.00",="2.90"
="52",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="93.88",="10.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="2.84"
="53",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="90.00",="0.00",="28.13",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="1.63"
="54",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="8.00",="2.04",="0.00",="85.45",="1.56",="0.00",="0.00",="2.27",="0.00",="0.00",="0.00",="0.00",="3.26"
="55",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="4.08",="0.00",="1.82",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.18"
="56",="0.00",="0.00",="0.14",="0.00",="80.00",="1.92",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="54.69",="8.16",="0.00",="0.00",="0.00",="2.08",="0.00",="0.00",="3.26"
="61",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="100.00",="0.00",="0.00",="0.00",="0.00",="0.00",="1.33"
="62",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="97.73",="0.00",="0.00",="0.00",="0.00",="2.60"
="71",="0.00",="0.00",="0.29",="0.00",="0.00",="0.00",="0.00",="1.39",="0.00",="0.00",="0.00",="0.00",="3.64",="1.56",="0.00",="0.00",="0.00",="88.89",="0.00",="0.00",="0.00",="2.30"
="72",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="100.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="2.78",="0.00",="0.00",="0.00",="1.15"
="81",="0.00",="0.00",="2.58",="0.00",="0.00",="0.00",="5.00",="1.39",="0.00",="2.00",="0.00",="0.00",="5.45",="1.56",="0.00",="0.00",="0.00",="2.78",="81.25",="33.33",="0.00",="4.59"
="92",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="1.39",="0.00",="0.00",="0.00",="0.00",="0.00",="1.56",="91.84",="0.00",="0.00",="0.00",="0.00",="0.00",="100.00",="2.90"
="Total",="100.00",="100.00",="100.00",="100.00",="100.00",="100.00",="100.00",="100.00",="100.00",="100.00",="100.00",="100.00",="100.00",="100.00",="100.00",="100.00",="100.00",="100.00",="100.00",="100.00",="100.00",="100.00"
="Observations",="1655",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
